t, yaw, pitch, roll, isCalibrated
0.003536,0.033525,-0.004524,-0.000192,-0.002730,1
0.019113,0.033720,-0.005389,0.001719,-0.002820,1
0.033574,0.034367,-0.006548,0.001854,-0.002896,1
0.048924,0.034448,-0.006893,0.000087,-0.003198,1
0.063701,0.034931,-0.007078,-0.002524,-0.003551,1
0.078908,0.047417,-0.006830,-0.004532,-0.003606,1
0.093773,0.062287,-0.006345,-0.005503,-0.003649,1
0.109033,0.077993,-0.006468,-0.005743,-0.003298,1
0.123963,0.092482,-0.006059,-0.005932,-0.003036,1
0.139076,0.107639,-0.005649,-0.006461,-0.002910,1
0.153944,0.122557,-0.006181,-0.006957,-0.002527,1
0.169217,0.137747,-0.006141,-0.007151,-0.002331,1
0.184098,0.152618,-0.005559,-0.007201,-0.002338,1
0.199311,0.167825,-0.004784,-0.007227,-0.002341,1
0.214087,0.182615,-0.003161,-0.007495,-0.002666,1
0.229344,0.197999,-0.002739,-0.007926,-0.002680,1
0.244252,0.212871,-0.003208,-0.008074,-0.002336,1
0.259460,0.228030,-0.003330,-0.007793,-0.002645,1
0.277405,0.246024,-0.003635,-0.007623,-0.002843,1
0.289579,0.258092,-0.003420,-0.007661,-0.002827,1
0.304471,0.272974,-0.003078,-0.007434,-0.002745,1
0.319610,0.288151,-0.003264,-0.007120,-0.002622,1
0.334531,0.303836,-0.003541,-0.007079,-0.002470,1
0.349824,0.318331,-0.004148,-0.007238,-0.002274,1
0.364651,0.333177,-0.004783,-0.007391,-0.002114,1
0.379915,0.348392,-0.004455,-0.007412,-0.002201,1
0.394786,0.363288,-0.003850,-0.007182,-0.002223,1
0.409877,0.378362,-0.003933,-0.006952,-0.002042,1
0.424793,0.393282,-0.004231,-0.006839,-0.001934,1
0.440024,0.408526,-0.004374,-0.006665,-0.002008,1
0.454864,0.423367,-0.004796,-0.006674,-0.002099,1
0.470018,0.438506,-0.004884,-0.007005,-0.002230,1
0.484993,0.453479,-0.004190,-0.007428,-0.002500,1
0.500370,0.469050,-0.003449,-0.007666,-0.002618,1
0.515136,0.483642,-0.003164,-0.007665,-0.002652,1
0.530643,0.499150,-0.003201,-0.007337,-0.002676,1
0.545157,0.513658,-0.003269,-0.006715,-0.002709,1
0.560581,0.529082,-0.003389,-0.006284,-0.002751,1
0.575244,0.543737,-0.003455,-0.006329,-0.002738,1
0.590528,0.559044,-0.003331,-0.006519,-0.002670,1
0.605432,0.573943,-0.002936,-0.006546,-0.002769,1
0.620800,0.589300,-0.002614,-0.006519,-0.002749,1
