frameId,t,yaw,pitch,roll,isCalibrated
0,0.006780,0.060993,-0.125004,0.008929,1
1,0.021920,0.054783,-0.116802,0.010325,1
2,0.036789,0.044252,-0.105171,0.014284,1
3,0.052046,0.034357,-0.094776,0.018707,1
4,0.066980,0.028798,-0.089576,0.023483,1
5,0.081964,0.029010,-0.090026,0.027438,1
6,0.097049,0.031577,-0.093946,0.030689,1
7,0.112337,0.031631,-0.099339,0.032764,1
8,0.127249,0.028772,-0.103877,0.034742,1
9,0.142170,0.026707,-0.105986,0.037009,1
10,0.157272,0.026506,-0.105861,0.039013,1
11,0.172317,0.027603,-0.104458,0.039891,1
12,0.187428,0.029598,-0.102808,0.039663,1
13,0.202403,0.031181,-0.101788,0.038843,1
14,0.217460,0.031300,-0.102559,0.037699,1
15,0.232443,0.033063,-0.104694,0.036658,1
16,0.247506,0.039117,-0.107375,0.034871,1
17,0.266534,0.047071,-0.110103,0.032900,1
18,0.277704,0.053631,-0.111651,0.031746,1
19,0.292611,0.058251,-0.110761,0.031727,1
20,0.307756,0.061415,-0.107766,0.031475,1
21,0.322841,0.065056,-0.104013,0.030346,1
22,0.337804,0.069987,-0.100700,0.028893,1
23,0.352874,0.076184,-0.097732,0.027749,1
24,0.368036,0.081794,-0.094040,0.027494,1
25,0.382893,0.084507,-0.089383,0.028052,1
26,0.397999,0.084743,-0.085708,0.028731,1
27,0.412895,0.085539,-0.085343,0.029235,1
28,0.428161,0.089143,-0.089280,0.029081,1
29,0.443291,0.095233,-0.097273,0.028213,1
30,0.458156,0.101712,-0.108285,0.027585,1
31,0.473138,0.105521,-0.120105,0.028607,1
32,0.488666,0.105981,-0.128995,0.031987,1
33,0.503315,0.102398,-0.133192,0.037636,1
34,0.518343,0.097161,-0.134615,0.043058,1
35,0.533283,0.093385,-0.133994,0.047568,1
36,0.548457,0.093087,-0.132483,0.050214,1
37,0.563582,0.097225,-0.130040,0.051187,1
38,0.578530,0.104859,-0.126219,0.051571,1
39,0.593702,0.112323,-0.121788,0.052576,1
40,0.608750,0.116123,-0.117840,0.054364,1
41,0.623702,0.116769,-0.114873,0.056598,1
42,0.638739,0.118374,-0.113138,0.058532,1
43,0.653763,0.123923,-0.113592,0.059232,1
44,0.668830,0.133140,-0.116305,0.058734,1
45,0.683864,0.143435,-0.119326,0.057810,1
46,0.698938,0.149744,-0.120440,0.057014,1
47,0.713902,0.149241,-0.119626,0.057700,1
48,0.729115,0.144542,-0.118641,0.060102,1
49,0.744133,0.142594,-0.117751,0.062776,1
50,0.759112,0.146557,-0.115682,0.064128,1
51,0.774101,0.153660,-0.111621,0.064092,1
52,0.789235,0.159088,-0.105598,0.064102,1
53,0.804225,0.159976,-0.098581,0.064910,1
54,0.819474,0.156889,-0.092669,0.066627,1
55,0.834289,0.150929,-0.089934,0.069641,1
56,0.849290,0.146930,-0.089906,0.073562,1
57,0.864550,0.147673,-0.091057,0.077549,1
58,0.879592,0.151229,-0.092811,0.081331,1
59,0.894506,0.155295,-0.094892,0.084858,1
60,0.909865,0.158679,-0.096523,0.087964,1
61,0.924740,0.159833,-0.097423,0.090506,1
62,0.940748,0.159280,-0.098092,0.092238,1
63,0.954653,0.159682,-0.098696,0.093020,1
64,0.970069,0.162222,-0.099663,0.092384,1
65,0.984751,0.167212,-0.100892,0.090685,1
66,0.999768,0.174042,-0.102228,0.088681,1
67,1.014796,0.181189,-0.103584,0.086931,1
68,1.030061,0.187197,-0.104643,0.085569,1
69,1.044958,0.191670,-0.104884,0.084486,1
70,1.060308,0.195060,-0.104140,0.083339,1
71,1.075127,0.197753,-0.103113,0.082055,1
72,1.090381,0.199961,-0.102867,0.080418,1
73,1.105071,0.203006,-0.103469,0.077961,1
74,1.120280,0.207161,-0.104168,0.075310,1
75,1.135205,0.210770,-0.104453,0.073394,1
76,1.150295,0.212280,-0.104187,0.072526,1
77,1.165214,0.212213,-0.103337,0.072340,1
78,1.180469,0.211624,-0.102413,0.071967,1
79,1.196095,0.210948,-0.102222,0.071009,1
80,1.210547,0.210946,-0.102943,0.069892,1
81,1.225546,0.212224,-0.104024,0.069179,1
82,1.240465,0.214488,-0.105138,0.069207,1
83,1.255484,0.216676,-0.105829,0.070132,1
84,1.270658,0.217997,-0.105407,0.071427,1
85,1.285706,0.216964,-0.103990,0.072719,1
86,1.300791,0.213615,-0.102269,0.073284,1
87,1.315729,0.209335,-0.100802,0.072817,1
88,1.330832,0.206868,-0.099585,0.071724,1
89,1.345698,0.207135,-0.098314,0.070714,1
90,1.360933,0.208430,-0.097610,0.070102,1
91,1.375978,0.209775,-0.098062,0.069772,1
92,1.390976,0.210924,-0.099348,0.069758,1
93,1.406157,0.211662,-0.100484,0.070076,1
94,1.421094,0.211569,-0.100928,0.070219,1
95,1.436035,0.211038,-0.101082,0.070183,1
96,1.452439,0.210847,-0.101919,0.070146,1
97,1.466228,0.211212,-0.103582,0.070385,1
98,1.481271,0.211727,-0.105673,0.070854,1
99,1.496236,0.212608,-0.107298,0.071557,1
100,1.511340,0.213167,-0.108021,0.072183,1
101,1.526557,0.213330,-0.107528,0.072748,1
102,1.541452,0.212715,-0.105972,0.073172,1
103,1.556417,0.211030,-0.104263,0.073311,1
104,1.571529,0.209612,-0.103292,0.073208,1
105,1.586594,0.209659,-0.103329,0.073206,1
106,1.601624,0.210859,-0.103952,0.073707,1
107,1.616608,0.212234,-0.104484,0.074794,1
108,1.631731,0.212439,-0.104585,0.076136,1
109,1.646921,0.211834,-0.104251,0.077061,1
110,1.661803,0.212044,-0.103486,0.076804,1
111,1.676812,0.213623,-0.102616,0.075177,1
112,1.691985,0.215912,-0.102287,0.073285,1
113,1.707071,0.218518,-0.102677,0.072144,1
114,1.722113,0.221274,-0.103189,0.071777,1
115,1.737091,0.223349,-0.102838,0.071984,1
116,1.752032,0.223371,-0.101164,0.072292,1
117,1.767226,0.221226,-0.098834,0.072686,1
118,1.782172,0.219240,-0.097087,0.073063,1
119,1.797229,0.219217,-0.096566,0.073373,1
120,1.812331,0.221264,-0.096516,0.073882,1
121,1.829678,0.224157,-0.096142,0.074707,1
122,1.842274,0.226752,-0.095376,0.075546,1
123,1.857455,0.228674,-0.094645,0.075889,1
124,1.872413,0.229114,-0.094071,0.075438,1
125,1.887457,0.228758,-0.093492,0.074473,1
126,1.902511,0.229299,-0.093030,0.073589,1
127,1.917504,0.231048,-0.092833,0.073238,1
128,1.932568,0.233133,-0.093271,0.073390,1
129,1.947542,0.235225,-0.094158,0.074002,1
130,1.962762,0.237155,-0.094950,0.074684,1
131,1.977629,0.237997,-0.095417,0.075048,1
132,1.992902,0.238024,-0.095801,0.074756,1
133,2.007888,0.238150,-0.096171,0.073851,1
134,2.022961,0.238615,-0.096618,0.072838,1
135,2.037939,0.239282,-0.097099,0.072187,1
136,2.052903,0.240195,-0.097354,0.071571,1
137,2.067860,0.241433,-0.097148,0.070719,1
138,2.083200,0.242842,-0.096614,0.069979,1
139,2.098144,0.243827,-0.096102,0.069618,1
140,2.113143,0.244897,-0.095825,0.069603,1
141,2.128260,0.246320,-0.095742,0.069712,1
142,2.143128,0.247516,-0.095631,0.069828,1
143,2.158195,0.248434,-0.095328,0.070306,1
144,2.173307,0.249778,-0.094343,0.071154,1
145,2.188387,0.250860,-0.092642,0.072092,1
146,2.203386,0.251263,-0.090797,0.072831,1
147,2.218385,0.252370,-0.089085,0.072994,1
148,2.233552,0.254637,-0.087408,0.072530,1
149,2.248559,0.257271,-0.085857,0.071772,1
150,2.263561,0.258855,-0.084886,0.071318,1
151,2.278695,0.259551,-0.084418,0.071316,1
152,2.293757,0.260580,-0.084155,0.071413,1
153,2.308972,0.261832,-0.083998,0.071703,1
154,2.323768,0.262988,-0.083732,0.072095,1
155,2.338747,0.264360,-0.083064,0.072194,1
156,2.353930,0.266090,-0.082198,0.072222,1
157,2.368857,0.267594,-0.081389,0.072752,1
158,2.384016,0.268445,-0.080442,0.073793,1
159,2.398961,0.269039,-0.079230,0.074867,1
160,2.414128,0.269725,-0.077899,0.075742,1
161,2.429153,0.271002,-0.077033,0.076135,1
162,2.444279,0.272901,-0.077152,0.075989,1
163,2.459171,0.274911,-0.078387,0.075675,1
164,2.474308,0.275917,-0.080228,0.075188,1
165,2.489868,0.275835,-0.082047,0.074173,1
166,2.504306,0.275056,-0.084163,0.072723,1
167,2.519218,0.274315,-0.087047,0.071384,1
168,2.534391,0.273983,-0.090324,0.070487,1
169,2.549446,0.273161,-0.094255,0.069593,1
170,2.564653,0.272788,-0.098660,0.068353,1
171,2.579494,0.273810,-0.102439,0.066836,1
172,2.594679,0.275544,-0.104566,0.065326,1
173,2.609688,0.276076,-0.104783,0.064302,1
174,2.624786,0.274459,-0.103779,0.063929,1
175,2.639715,0.271652,-0.102386,0.064029,1
176,2.654840,0.269506,-0.101200,0.064287,1
177,2.669880,0.267806,-0.100767,0.064439,1
178,2.684821,0.268508,-0.101521,0.064075,1
179,2.699871,0.270371,-0.103579,0.063439,1
180,2.714936,0.271899,-0.106625,0.063167,1
181,2.730049,0.272993,-0.109848,0.063330,1
182,2.745104,0.273997,-0.112417,0.063828,1
183,2.760143,0.275198,-0.114015,0.064115,1
184,2.775125,0.275886,-0.114892,0.063536,1
185,2.790148,0.275002,-0.115866,0.062308,1
186,2.805258,0.273223,-0.117351,0.061035,1
187,2.820300,0.271751,-0.118679,0.060023,1
188,2.835389,0.271926,-0.118948,0.059321,1
189,2.850349,0.273197,-0.118184,0.058522,1
190,2.865449,0.275857,-0.117341,0.057805,1
191,2.880381,0.278880,-0.117271,0.057595,1
192,2.895525,0.280595,-0.118014,0.058045,1
193,2.910567,0.281904,-0.118948,0.058451,1
194,2.925560,0.282831,-0.119735,0.058431,1
195,2.940616,0.283140,-0.120396,0.058305,1
196,2.955613,0.283130,-0.120790,0.058602,1
197,2.970714,0.282993,-0.120431,0.059549,1
198,2.985823,0.282835,-0.119121,0.060371,1
199,3.000670,0.282738,-0.117254,0.060259,1
200,3.015785,0.282654,-0.115739,0.059353,1
201,3.030880,0.283254,-0.115746,0.058415,1
202,3.045956,0.285306,-0.117513,0.058139,1
203,3.061101,0.287986,-0.120260,0.058851,1
204,3.076132,0.290171,-0.122908,0.060119,1
205,3.091217,0.291334,-0.124862,0.061334,1
206,3.106296,0.292104,-0.126211,0.062128,1
207,3.121122,0.292375,-0.127086,0.062683,1
208,3.136272,0.291917,-0.127539,0.063413,1
209,3.151385,0.291299,-0.127460,0.063940,1
210,3.166295,0.290078,-0.127062,0.063851,1
211,3.181477,0.289192,-0.126625,0.063172,1
212,3.196418,0.290001,-0.126140,0.062034,1
213,3.211449,0.291459,-0.125872,0.061020,1
214,3.226521,0.292915,-0.125944,0.060570,1
215,3.241384,0.294368,-0.125959,0.060822,1
216,3.256642,0.296092,-0.125496,0.061558,1
217,3.271646,0.298382,-0.124462,0.062410,1
218,3.286700,0.300205,-0.123068,0.063121,1
219,3.301657,0.300475,-0.121527,0.063590,1
220,3.316679,0.300106,-0.119915,0.063695,1
221,3.331764,0.300601,-0.118511,0.063524,1
222,3.346824,0.302448,-0.117629,0.063394,1
223,3.361782,0.304843,-0.117107,0.063462,1
224,3.376890,0.306651,-0.116921,0.063474,1
225,3.391864,0.307295,-0.116931,0.063336,1
226,3.407030,0.307212,-0.116968,0.062641,1
